Codigo do Item,Descrição do Item,Marca,País de Origem,Produtor,Tipo de Vinho,Safra,Preço,Desconto Máximo,Tipo de Garrafa,Estoque Atual,GTIN Un.,GTIN Cod. Barra,DUN Un.,DUN Cod. Barra,Região de Origem,Tipo de Uva,Percentual IPI,UPDATED_AT,Valor em Real,Valor com desconto,col_22
38903,ALBUQUERQUE & DAVO SAUVIGNON BLANC 2023 (BCO) (ALBUQUERQUE & DAVO),Mistral,Brasil,ALBUQUERQUE & DAVO,Branco,2023,189,35,750ml,775,GF,7898968353138,,,Minas Gerais,Sauvignon Blanc (100%),0,2026/01/16 08:00:02.963000000,1017.6894,982.6894,
37497,DOMAINE JEAN MARC MILLOT COTE DE NUITS VILLAGESAOC AUX FAULQUES 2021 (TTO) (DOMAINE JEAN-MARC MILLOT),Mistral,França,DOMAINE JEAN-MARC MILLOT,Tinto,2021,159.9,15,750ml,33,GF,0097985159953,CAIXA C/6,20097985159957,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,860.99754,845.99754,
37498,DOMAINE JEAN MARC MILLOT SAVIGNY-LES-BEAUNE AOC 2021  (TTO) (DOMAINE JEAN-MARC MILLOT),Mistral,França,DOMAINE JEAN-MARC MILLOT,Tinto,2021,159,15,750ml,15,GF,0097985159960,CAIXA C/6,20097985159964,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,856.1514,841.1514,
37501,ECHEZEAUX AOC 2021 (GRAND CRU - DOMAINE JEAN MARC MILLOT) (TTO) (DOMAINE JEAN-MARC MILLOT),Mistral,França,DOMAINE JEAN-MARC MILLOT,Tinto,2021,799,15,750ml,6,GF,0097985159991,CAIXA C/6,20097985159995,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,4302.2954,4287.2954,
37508,DOMAINE DUGAT-PY - MONTHELIE AOC 2020 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2020,299,15,750ml,46,GF,0097985100849,CAIXA C/12,20097985100843,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,1609.9954,1594.9954,
37509,DOMAINE DUGAT-PY - MONTHELIE AOC 2021 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2021,345.9,15,750ml,8,GF,0097985100849,CAIXA C/12,20097985100843,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,1862.5331399999998,1847.5331399999998,
37510,DOMAINE DUGAT-PY - POMMARD AOC - LA LEVRIERE TRES VIEILLES VIGNES 2020 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2020,479,15,750ml,35,GF,0097985158970,CAIXA C/6,20097985158974,Bourgogne,Pinot Noir,6.5,2026/01/16 08:00:02.963000000,2579.2234,2564.2234,
37511,DOMAINE DUGAT-PY - POMMARD AOC - LA LEVRIERE TRES VIEILLES VIGNES 2021 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2021,479,15,750ml,11,GF,0097985158970,CAIXA C/6,20097985158974,Bourgogne,Pinot Noir,6.5,2026/01/16 08:00:02.963000000,2579.2234,2564.2234,
37512,DOMAINE DUGAT-PY - GEVREY CHAMBERTIN AOC - CUVEE COEUR DU ROY TRES VIEILLES VIGNES 2020 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2020,479,15,750ml,89,GF,0097985152077,CAIXA C/6,20097985152071,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,2579.2234,2564.2234,
37513,DOMAINE DUGAT-PY - GEVREY CHAMBERTIN AOC - CUVEE COEUR DU ROY TRES VIEILLES VIGNES 2021 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2021,489,15,750ml,17,GF,0097985152077,CAIXA C/6,20097985152071,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,2633.0694,2618.0694,
